Quality,Angle (degrees),Distance (mm),Rotation
1,0,1287,0.0
1,1,1287,0.0
1,2,1289,0.0
1,3,1292,0.0
1,4,1294,0.0
1,5,1296,0.0
1,6,1298,0.0
1,7,1301,0.0
1,8,1305,0.0
1,9,1310,0.0
1,10,1314,0.0
1,11,1320,0.0
1,12,1326,0.0
1,13,1332,0.0
1,14,1338,0.0
1,15,1342,0.0
1,16,1344,0.0
1,17,1351,0.0
1,18,1358,0.0
1,19,1329,0.0
1,20,1284,0.0
1,21,1243,0.0
1,22,1193,0.0
1,23,1136,0.0
1,24,1094,0.0
1,25,1057,0.0
1,26,1022,0.0
1,27,989,0.0
1,28,957,0.0
1,29,928,0.0
1,30,901,0.0
1,31,877,0.0
1,32,855,0.0
1,33,833,0.0
1,34,812,0.0
1,35,792,0.0
1,36,775,0.0
1,37,758,0.0
1,38,742,0.0
1,39,731,0.0
1,46,176,0.0
1,55,137,0.0
1,56,136,0.0
1,57,138,0.0
1,60,134,0.0
1,129,638,0.0
1,130,642,0.0
1,131,645,0.0
1,132,648,0.0
1,133,653,0.0
1,134,659,0.0
1,135,670,0.0
1,136,684,0.0
1,137,696,0.0
1,138,709,0.0
1,139,723,0.0
1,140,736,0.0
1,141,755,0.0
1,142,774,0.0
1,143,791,0.0
1,144,809,0.0
1,145,831,0.0
1,146,858,0.0
1,147,884,0.0
1,148,903,0.0
1,149,926,0.0
1,150,962,0.0
1,151,1001,0.0
1,152,1028,0.0
1,153,1060,0.0
1,154,1102,0.0
1,155,1133,0.0
1,156,1183,0.0
1,157,1244,0.0
1,158,1307,0.0
1,159,1355,0.0
1,160,1428,0.0
1,161,1519,0.0
1,162,1612,0.0
1,163,1686,0.0
1,164,1803,0.0
1,165,1957,0.0
1,166,2150,0.0
1,0,1054,0.0
1,1,1286,0.0
1,2,1133,0.0
1,3,1135,0.0
1,4,981,0.0
1,5,1060,0.0
1,6,1141,0.0
1,7,987,0.0
1,8,1067,0.0
1,9,1072,0.0
1,10,1156,0.0
1,11,839,0.0
1,12,1083,0.0
1,13,1170,0.0
1,14,1013,0.0
1,15,1097,0.0
1,16,1102,0.0
1,17,1108,0.0
1,18,1112,0.0
1,19,1117,0.0
1,20,1147,0.0
1,21,885,0.0
1,22,1099,0.0
1,23,1014,0.0
1,24,989,0.0
1,25,984,0.0
1,26,964,0.0
1,27,947,0.0
1,28,942,0.0
1,29,927,0.0
1,30,896,0.0
1,31,875,0.0
1,32,852,0.0
1,33,830,0.0
1,34,811,0.0
1,35,791,0.0
1,36,774,0.0
1,38,739,0.0
1,39,732,0.0
1,46,172,0.0
1,55,136,0.0
1,56,135,0.0
1,57,137,0.0
1,58,133,0.0
1,59,137,0.0
1,129,640,0.0
1,131,644,0.0
1,132,647,0.0
1,133,651,0.0
1,134,657,0.0
1,135,668,0.0
1,136,682,0.0
1,137,698,0.0
1,139,722,0.0
1,140,737,0.0
1,141,751,0.0
1,142,767,0.0
1,143,789,0.0
1,144,812,0.0
1,145,828,0.0
1,146,848,0.0
1,147,876,0.0
1,148,907,0.0
1,149,929,0.0
1,150,955,0.0
1,151,991,0.0
1,152,1032,0.0
1,153,1061,0.0
1,154,1097,0.0
1,155,1148,0.0
1,156,1207,0.0
1,157,1249,0.0
1,158,1298,0.0
1,159,1361,0.0
1,160,1416,0.0
1,161,1484,0.0
1,162,1585,0.0
1,163,1705,0.0
1,164,1790,0.0
1,165,1899,0.0
1,166,2065,0.0
1,0,821,0.0
1,1,822,0.0
1,2,822,0.0
1,3,823,0.0
1,4,824,0.0
1,5,826,0.0
1,6,827,0.0
1,7,829,0.0
1,8,831,0.0
1,9,834,0.0
1,10,837,0.0
1,11,840,0.0
1,12,843,0.0
1,13,846,0.0
1,14,850,0.0
1,15,855,0.0
1,16,859,0.0
1,17,864,0.0
1,18,869,0.0
1,19,874,0.0
1,20,878,0.0
1,21,884,0.0
1,22,891,0.0
1,23,895,0.0
1,24,903,0.0
1,25,906,0.0
1,26,915,0.0
1,27,921,0.0
1,28,930,0.0
1,29,930,0.0
1,30,910,0.0
1,31,881,0.0
1,32,856,0.0
1,35,794,0.0
1,36,773,0.0
1,37,753,0.0
1,38,743,0.0
1,46,171,0.0
1,54,136,0.0
1,60,132,0.0
1,129,637,0.0
1,130,641,0.0
1,134,658,0.0
1,135,671,0.0
1,138,710,0.0
1,139,726,0.0
1,140,738,0.0
1,141,754,0.0
1,145,832,0.0
1,146,853,0.0
1,148,902,0.0
1,149,930,0.0
1,150,961,0.0
1,151,987,0.0
1,152,1020,0.0
1,153,1064,0.0
1,154,1106,0.0
1,155,1141,0.0
1,156,1187,0.0
1,157,1251,0.0
1,158,1313,0.0
1,159,1364,0.0
1,160,1433,0.0
1,161,1516,0.0
1,162,1600,0.0
1,163,1702,0.0
1,164,1815,0.0
1,165,1939,0.0
1,166,2064,0.0
1,1,821,0.0
1,5,825,0.0
1,9,833,0.0
1,10,836,0.0
1,12,844,0.0
1,13,847,0.0
1,14,851,0.0
1,17,863,0.0
1,18,868,0.0
1,19,873,0.0
1,22,890,0.0
1,24,898,0.0
1,26,913,0.0
1,27,920,0.0
1,28,922,0.0
1,30,902,0.0
1,32,853,0.0
1,34,813,0.0
1,35,793,0.0
1,36,776,0.0
1,39,733,0.0
1,45,174,0.0
1,58,137,0.0
1,59,132,0.0
1,129,641,0.0
1,130,643,0.0
1,136,683,0.0
1,138,707,0.0
1,139,725,0.0
1,140,744,0.0
1,141,760,0.0
1,143,790,0.0
1,144,813,0.0
1,145,833,0.0
1,146,852,0.0
1,147,879,0.0
1,148,905,0.0
1,149,927,0.0
1,150,959,0.0
1,151,995,0.0
1,153,1057,0.0
1,154,1095,0.0
1,155,1145,0.0
1,156,1200,0.0
1,157,1242,0.0
1,158,1295,0.0
1,159,1366,0.0
1,160,1434,0.0
1,161,1505,0.0
1,163,1709,0.0
1,164,1808,0.0
1,165,1925,0.0
1,166,2120,0.0
1,4,823,0.0
1,8,832,0.0
1,14,849,0.0
1,15,854,0.0
1,21,883,0.0
1,23,894,0.0
1,24,899,0.0
1,26,914,0.0
1,28,929,0.0
1,29,922,0.0
1,30,906,0.0
1,31,884,0.0
1,33,837,0.0
1,35,789,0.0
1,37,763,0.0
1,38,740,0.0
1,45,172,0.0
1,46,173,0.0
1,54,137,0.0
1,58,136,0.0
1,129,642,0.0
1,130,644,0.0
1,133,652,0.0
1,137,694,0.0
1,138,706,0.0
1,140,741,0.0
1,141,756,0.0
1,142,770,0.0
1,143,793,0.0
