Quality,Angle (degrees),Distance (mm),Rotation
1,130,176,0.0
1,135,157,0.0
1,148,132,0.0
1,164,118,0.0
1,0,2265,0.0
1,1,1134,0.0
1,3,1149,0.0
1,4,764,0.0
1,8,709,0.0
1,12,452,0.0
1,17,324,0.0
1,19,284,0.0
1,29,227,0.0
1,33,213,0.0
1,36,160,0.0
1,39,179,0.0
1,42,170,0.0
1,58,139,0.0
1,131,173,0.0
1,132,166,0.0
1,1,1149,0.0
1,5,735,0.0
1,6,701,0.0
1,8,697,0.0
1,14,385,0.0
1,15,362,0.0
1,16,349,0.0
1,18,323,0.0
1,19,288,0.0
1,28,228,0.0
1,30,222,0.0
1,38,174,0.0
1,39,178,0.0
1,50,150,0.0
1,53,146,0.0
1,132,172,0.0
1,133,163,0.0
1,146,136,0.0
1,0,2274,0.0
1,1,1133,0.0
1,12,444,0.0
1,13,430,0.0
1,20,291,0.0
1,21,274,0.0
1,30,226,0.0
1,31,222,0.0
1,36,176,0.0
1,38,177,0.0
1,43,166,0.0
1,45,161,0.0
1,50,152,0.0
1,125,181,0.0
1,130,183,0.0
1,165,115,0.0
1,167,114,0.0
1,173,112,0.0
1,0,3382,0.0
1,2,1139,0.0
1,8,703,0.0
1,14,386,0.0
1,15,368,0.0
1,17,332,0.0
1,19,293,0.0
1,24,242,0.0
1,29,231,0.0
1,30,229,0.0
1,32,218,0.0
1,38,176,0.0
1,42,172,0.0
1,0,2256,0.0
1,1,1136,0.0
1,8,1038,0.0
1,11,460,0.0
1,17,322,0.0
1,18,312,0.0
1,25,236,0.0
1,26,220,0.0
1,29,230,0.0
1,58,142,0.0
1,133,166,0.0
1,144,137,0.0
1,149,131,0.0
1,1,1140,0.0
1,6,702,0.0
1,9,658,0.0
1,18,321,0.0
1,38,170,0.0
1,40,180,0.0
1,132,170,0.0
1,0,3396,0.0
1,1,1152,0.0
1,6,697,0.0
1,8,699,0.0
1,16,351,0.0
1,17,328,0.0
1,18,317,0.0
1,19,290,0.0
1,136,157,0.0
1,139,147,0.0
1,0,3386,0.0
1,1,1130,0.0
1,6,704,0.0
1,8,710,0.0
1,12,454,0.0
1,13,426,0.0
1,28,230,0.0
1,55,140,0.0
1,125,180,0.0
1,147,132,0.0
1,0,2268,0.0
1,2,1137,0.0
1,16,346,0.0
1,17,331,0.0
1,26,219,0.0
1,30,225,0.0
1,54,144,0.0
1,57,139,0.0
1,127,186,0.0
1,0,2258,0.0
1,6,699,0.0
1,8,701,0.0
1,9,659,0.0
1,15,363,0.0
1,37,165,0.0
1,43,168,0.0
1,0,2639,0.0
1,2,1143,0.0
1,3,762,0.0
1,8,1096,0.0
1,19,294,0.0
1,26,234,0.0
1,29,226,0.0
1,46,159,0.0
1,58,144,0.0
