Quality,Angle (degrees),Distance (mm),Rotation
1,0,1242,0.0
1,1,1219,0.0
1,2,1231,0.0
1,3,1213,0.0
1,4,1196,0.0
1,5,1194,0.0
1,6,1182,0.0
1,7,1075,0.0
1,8,1034,0.0
1,9,982,0.0
1,10,908,0.0
1,11,886,0.0
1,12,771,0.0
1,13,752,0.0
1,14,744,0.0
1,15,695,0.0
1,16,655,0.0
1,17,641,0.0
1,18,596,0.0
1,19,573,0.0
1,20,558,0.0
1,21,532,0.0
1,22,505,0.0
1,23,496,0.0
1,24,476,0.0
1,25,468,0.0
1,26,447,0.0
1,27,417,0.0
1,28,415,0.0
1,29,405,0.0
1,30,392,0.0
1,31,391,0.0
1,32,379,0.0
1,33,368,0.0
1,34,364,0.0
1,35,358,0.0
1,36,351,0.0
1,37,349,0.0
1,38,339,0.0
1,39,334,0.0
1,40,330,0.0
1,41,323,0.0
1,42,317,0.0
1,43,317,0.0
1,44,305,0.0
1,45,305,0.0
1,46,300,0.0
1,47,302,0.0
1,48,299,0.0
1,60,138,0.0
1,61,138,0.0
1,127,150,0.0
1,128,150,0.0
1,129,151,0.0
1,130,152,0.0
1,131,154,0.0
1,134,500,0.0
1,135,494,0.0
1,136,485,0.0
1,137,489,0.0
1,138,490,0.0
1,139,495,0.0
1,140,491,0.0
1,141,486,0.0
1,142,485,0.0
1,143,481,0.0
1,144,479,0.0
1,145,478,0.0
1,146,476,0.0
1,147,468,0.0
1,148,462,0.0
1,149,462,0.0
1,150,466,0.0
1,151,462,0.0
1,152,462,0.0
1,153,458,0.0
1,154,460,0.0
1,155,460,0.0
1,156,460,0.0
1,157,438,0.0
1,158,422,0.0
1,159,415,0.0
1,160,396,0.0
1,161,393,0.0
1,162,389,0.0
1,163,383,0.0
1,164,380,0.0
1,165,380,0.0
1,166,377,0.0
1,167,374,0.0
1,168,377,0.0
1,169,375,0.0
1,170,375,0.0
1,171,377,0.0
1,172,380,0.0
1,173,384,0.0
1,174,385,0.0
1,175,401,0.0
1,176,424,0.0
1,177,427,0.0
1,178,427,0.0
1,179,438,0.0
1,0,1222,0.0
1,1,1205,0.0
1,2,1176,0.0
1,3,1228,0.0
1,4,1219,0.0
1,5,1195,0.0
1,6,1165,0.0
1,7,1127,0.0
1,8,1047,0.0
1,9,958,0.0
1,10,938,0.0
1,11,852,0.0
1,12,766,0.0
1,13,760,0.0
1,14,728,0.0
1,15,686,0.0
1,16,672,0.0
1,17,626,0.0
1,18,600,0.0
1,19,579,0.0
1,20,553,0.0
1,21,542,0.0
1,22,517,0.0
1,23,494,0.0
1,24,486,0.0
1,25,463,0.0
1,26,434,0.0
1,27,424,0.0
1,28,412,0.0
1,29,403,0.0
1,30,403,0.0
1,31,389,0.0
1,32,376,0.0
1,33,374,0.0
1,34,363,0.0
1,35,352,0.0
1,37,341,0.0
1,38,337,0.0
1,39,333,0.0
1,40,327,0.0
1,41,318,0.0
1,43,312,0.0
1,46,301,0.0
1,47,296,0.0
1,48,297,0.0
1,59,138,0.0
1,61,137,0.0
1,128,151,0.0
1,131,153,0.0
1,135,501,0.0
1,136,492,0.0
1,137,492,0.0
1,138,484,0.0
1,139,494,0.0
1,140,489,0.0
1,141,487,0.0
1,142,483,0.0
1,144,480,0.0
1,146,472,0.0
1,147,470,0.0
1,148,464,0.0
1,150,463,0.0
1,153,459,0.0
1,154,459,0.0
1,155,461,0.0
1,156,455,0.0
1,157,450,0.0
1,158,426,0.0
1,159,402,0.0
1,160,400,0.0
1,161,392,0.0
1,162,386,0.0
1,163,385,0.0
1,165,376,0.0
1,167,373,0.0
1,168,372,0.0
1,169,371,0.0
1,170,373,0.0
1,171,373,0.0
1,172,374,0.0
1,173,377,0.0
1,174,377,0.0
1,175,381,0.0
1,176,380,0.0
1,177,401,0.0
1,178,400,0.0
1,179,427,0.0
1,0,1243,0.45
1,1,1222,0.45
1,2,1173,0.45
1,3,1181,0.45
1,4,1219,0.45
1,5,1173,0.45
1,6,1157,0.45
1,7,1112,0.45
1,8,1032,0.45
1,9,947,0.45
1,10,932,0.45
1,11,852,0.45
1,12,802,0.45
1,13,778,0.45
1,14,727,0.45
1,15,710,0.45
1,16,665,0.45
1,17,620,0.45
1,18,610,0.45
1,19,577,0.45
1,20,546,0.45
1,21,542,0.45
1,22,512,0.45
1,23,486,0.45
1,24,480,0.45
1,25,460,0.45
1,27,423,0.45
1,28,414,0.45
1,29,409,0.45
1,30,402,0.45
1,31,388,0.45
1,32,378,0.45
1,33,371,0.45
1,34,363,0.45
1,35,362,0.45
1,36,351,0.45
1,37,339,0.45
1,38,339,0.45
1,39,333,0.45
1,40,327,0.45
1,41,326,0.45
1,42,317,0.45
1,43,311,0.45
1,44,311,0.45
1,45,305,0.45
1,46,296,0.45
1,47,296,0.45
1,48,297,0.45
1,58,136,0.45
1,59,138,0.45
1,60,137,0.45
1,61,137,0.45
1,127,150,0.45
1,128,150,0.45
1,129,150,0.45
1,130,152,0.45
1,131,153,0.45
1,135,497,0.45
1,136,483,0.45
1,137,483,0.45
1,138,485,0.45
1,139,494,0.45
1,140,493,0.45
1,141,488,0.45
1,142,483,0.45
1,143,481,0.45
1,144,480,0.45
1,145,479,0.45
1,146,474,0.45
1,147,470,0.45
1,148,467,0.45
1,149,461,0.45
1,150,465,0.45
1,151,471,0.45
1,152,463,0.45
1,153,460,0.45
1,154,456,0.45
1,155,437,0.45
1,156,422,0.45
1,157,413,0.45
1,158,399,0.45
1,159,395,0.45
1,160,391,0.45
1,161,385,0.45
1,162,382,0.45
1,163,379,0.45
1,164,374,0.45
1,165,372,0.45
1,166,369,0.45
1,167,365,0.45
1,168,364,0.45
1,169,364,0.45
1,170,364,0.45
1,171,365,0.45
1,172,365,0.45
1,173,366,0.45
1,174,366,0.45
1,175,366,0.45
1,176,366,0.45
1,177,367,0.45
1,178,369,0.45
1,179,370,0.45
1,0,1240,0.45
1,1,1236,0.45
1,2,1179,0.45
1,3,1223,0.45
1,4,1203,0.45
1,5,1198,0.45
1,6,1175,0.45
1,7,1073,0.45
1,8,1068,0.45
1,9,968,0.45
1,10,897,0.45
1,11,873,0.45
1,12,812,0.45
1,13,752,0.45
1,14,738,0.45
1,15,684,0.45
1,17,636,0.45
1,18,590,0.45
1,19,584,0.45
1,20,557,0.45
1,21,531,0.45
1,22,524,0.45
1,23,494,0.45
1,24,474,0.45
1,25,467,0.45
1,26,438,0.45
1,27,426,0.45
1,28,419,0.45
1,29,403,0.45
1,31,391,0.45
1,32,376,0.45
1,34,364,0.45
1,35,356,0.45
1,37,345,0.45
1,41,320,0.45
1,43,312,0.45
1,44,306,0.45
1,45,304,0.45
1,46,297,0.45
1,48,299,0.45
1,59,137,0.45
1,60,138,0.45
1,130,153,0.45
1,135,501,0.45
1,136,484,0.45
1,137,484,0.45
1,138,489,0.45
1,139,495,0.45
1,140,490,0.45
1,141,486,0.45
1,142,485,0.45
1,145,480,0.45
1,146,477,0.45
1,148,468,0.45
1,150,466,0.45
1,151,470,0.45
1,152,467,0.45
1,154,439,0.45
1,156,414,0.45
1,157,407,0.45
1,158,400,0.45
1,160,390,0.45
1,161,387,0.45
1,163,376,0.45
1,164,375,0.45
1,165,371,0.45
1,166,365,0.45
1,168,365,0.45
1,169,365,0.45
1,172,366,0.45
1,176,367,0.45
1,177,368,0.45
1,178,368,0.45
1,179,369,0.45
1,0,1244,0.9
1,1,1225,0.9
1,2,1174,0.9
1,3,1186,0.9
1,4,1185,0.9
1,5,1190,0.9
1,7,1108,0.9
1,8,1027,0.9
1,9,1001,0.9
1,10,930,0.9
1,11,845,0.9
1,12,836,0.9
1,13,756,0.9
1,14,723,0.9
1,15,707,0.9
1,16,661,0.9
1,17,617,0.9
1,18,608,0.9
1,19,578,0.9
1,20,548,0.9
1,21,542,0.9
1,22,509,0.9
1,24,480,0.9
1,25,459,0.9
1,26,452,0.9
1,27,433,0.9
1,28,412,0.9
1,29,406,0.9
1,30,399,0.9
1,31,386,0.9
1,32,378,0.9
1,33,370,0.9
1,34,363,0.9
1,35,360,0.9
1,36,351,0.9
1,37,339,0.9
1,38,340,0.9
1,39,331,0.9
1,40,328,0.9
1,41,328,0.9
1,42,316,0.9
1,44,305,0.9
1,45,305,0.9
1,46,296,0.9
1,47,298,0.9
1,48,298,0.9
1,58,137,0.9
1,59,138,0.9
1,60,137,0.9
1,127,150,0.9
1,128,150,0.9
1,129,150,0.9
1,130,151,0.9
1,135,496,0.9
1,137,484,0.9
1,138,489,0.9
1,139,487,0.9
1,140,489,0.9
1,141,487,0.9
1,142,482,0.9
1,143,482,0.9
1,144,480,0.9
1,145,480,0.9
1,147,472,0.9
1,148,464,0.9
1,149,463,0.9
1,150,463,0.9
1,151,472,0.9
1,152,459,0.9
1,153,419,0.9
1,154,426,0.9
1,155,457,0.9
1,156,347,0.9
1,157,400,0.9
1,158,432,0.9
1,159,348,0.9
1,160,363,0.9
1,161,393,0.9
1,162,334,0.9
1,163,343,0.9
1,165,337,0.9
1,166,334,0.9
1,167,352,0.9
