Quality,Angle (degrees),Distance (mm),Rotation
1,0,2666,0.0
1,1,2666,0.0
1,2,2667,0.0
1,3,2671,0.0
1,4,2675,0.0
1,5,2680,0.0
1,6,2680,0.0
1,7,2687,0.0
1,8,2687,0.0
1,9,2666,0.0
1,10,2612,0.0
1,11,2407,0.0
1,12,2150,0.0
1,13,2014,0.0
1,14,1892,0.0
1,15,1741,0.0
1,16,1655,0.0
1,17,1560,0.0
1,18,1467,0.0
1,19,1405,0.0
1,20,1338,0.0
1,21,1273,0.0
1,22,1223,0.0
1,23,1177,0.0
1,24,1124,0.0
1,25,1078,0.0
1,26,1048,0.0
1,27,1008,0.0
1,28,975,0.0
1,29,949,0.0
1,30,914,0.0
1,32,876,0.0
1,40,174,0.0
1,41,171,0.0
1,42,176,0.0
1,133,156,0.0
1,134,160,0.0
1,147,874,0.0
1,148,904,0.0
1,149,905,0.0
1,150,933,0.0
1,151,960,0.0
1,152,986,0.0
1,153,1015,0.0
1,154,1052,0.0
1,157,1184,0.0
1,158,1235,0.0
1,160,1270,0.0
1,167,304,0.0
1,169,1273,0.0
1,172,408,0.0
1,173,408,0.0
1,174,409,0.0
1,175,408,0.0
1,176,407,0.0
1,177,410,0.0
1,179,414,0.0
1,0,2665,0.0
1,2,2671,0.0
1,3,2670,0.0
1,4,2673,0.0
1,5,2675,0.0
1,6,2681,0.0
1,8,2685,0.0
1,9,2674,0.0
1,10,2544,0.0
1,12,2185,0.0
1,13,1992,0.0
1,14,1847,0.0
1,15,1739,0.0
1,16,1635,0.0
1,17,1536,0.0
1,18,1468,0.0
1,19,1386,0.0
1,20,1323,0.0
1,22,1215,0.0
1,23,1167,0.0
1,24,1123,0.0
1,25,1080,0.0
1,26,1043,0.0
1,28,976,0.0
1,29,944,0.0
1,30,918,0.0
1,31,890,0.0
1,32,877,0.0
1,41,170,0.0
1,42,174,0.0
1,133,157,0.0
1,147,881,0.0
1,148,878,0.0
1,149,913,0.0
1,150,928,0.0
1,151,956,0.0
1,152,995,0.0
1,153,1021,0.0
1,154,1050,0.0
1,157,1200,0.0
1,158,1227,0.0
1,159,1276,0.0
1,160,1271,0.0
1,161,1280,0.0
1,162,1280,0.0
1,166,1922,0.0
1,167,306,0.0
1,172,407,0.0
1,173,410,0.0
1,177,408,0.0
1,178,412,0.0
1,179,413,0.0
1,1,2665,0.0
1,2,2668,0.0
1,3,2665,0.0
1,4,2674,0.0
1,5,2678,0.0
1,6,2684,0.0
1,8,2683,0.0
1,9,2692,0.0
1,10,2604,0.0
1,11,2306,0.0
1,12,2167,0.0
1,13,2022,0.0
1,14,1859,0.0
1,15,1754,0.0
1,16,1650,0.0
1,17,1550,0.0
1,18,1477,0.0
1,19,1397,0.0
1,20,1329,0.0
1,21,1279,0.0
1,22,1222,0.0
1,23,1172,0.0
1,24,1128,0.0
1,25,1086,0.0
1,26,1047,0.0
1,27,1012,0.0
1,28,981,0.0
1,29,947,0.0
1,30,921,0.0
1,31,899,0.0
1,41,168,0.0
1,42,175,0.0
1,134,159,0.0
1,147,884,0.0
1,148,853,0.0
1,149,903,0.0
1,151,957,0.0
1,152,987,0.0
1,153,1017,0.0
1,154,1041,0.0
1,155,1084,0.0
1,158,1225,0.0
1,159,1272,0.0
1,160,1266,0.0
1,162,1293,0.0
1,171,404,0.0
1,172,410,0.0
1,174,410,0.0
1,178,421,0.0
1,0,2667,0.0
1,1,2668,0.0
1,2,2670,0.0
1,3,2672,0.0
1,5,2679,0.0
1,6,2682,0.0
1,8,2689,0.0
1,9,2697,0.0
1,10,2599,0.0
1,11,2342,0.0
1,12,2145,0.0
1,13,2008,0.0
1,14,1856,0.0
1,15,1726,0.0
1,17,1545,0.0
1,18,1454,0.0
1,19,1390,0.0
1,21,1257,0.0
1,22,1216,0.0
1,23,1171,0.0
1,24,1115,0.0
1,25,1083,0.0
1,26,1045,0.0
1,27,1002,0.0
1,28,978,0.0
1,29,946,0.0
1,30,916,0.0
1,31,891,0.0
1,133,158,0.0
1,147,866,0.0
1,148,879,0.0
1,149,902,0.0
1,150,930,0.0
1,151,965,0.0
1,152,990,0.0
1,154,1073,0.0
1,155,1086,0.0
1,156,1137,0.0
1,157,1183,0.0
1,158,1222,0.0
1,159,1271,0.0
1,161,1278,0.0
1,166,1910,0.0
1,167,303,0.0
1,168,1272,0.0
1,172,409,0.0
1,178,414,0.0
1,179,416,0.0
1,5,2677,0.0
1,9,2694,0.0
1,10,2563,0.0
1,11,2376,0.0
1,12,2174,0.0
1,13,1963,0.0
1,14,1882,0.0
1,15,1765,0.0
1,16,1643,0.0
1,18,1481,0.0
1,20,1342,0.0
1,21,1277,0.0
1,22,1212,0.0
1,23,1161,0.0
1,24,1129,0.0
1,26,1040,0.0
1,27,1013,0.0
1,28,974,0.0
1,29,943,0.0
1,30,923,0.0
1,31,889,0.0
1,41,172,0.0
1,134,162,0.0
1,147,875,0.0
1,148,884,0.0
1,149,899,0.0
1,150,925,0.0
1,151,961,0.0
1,152,991,0.0
1,154,1061,0.0
1,157,1186,0.0
1,159,1274,0.0
1,161,1277,0.0
1,166,1932,0.0
1,168,1274,0.0
1,169,1271,0.0
1,177,411,0.0
1,178,407,0.0
1,7,2686,0.0
1,10,2489,0.0
1,11,2316,0.0
1,12,2184,0.0
1,13,2003,0.0
1,14,1834,0.0
1,15,1735,0.0
1,16,1639,0.0
1,17,1537,0.0
1,18,1456,0.0
1,19,1395,0.0
1,20,1319,0.0
1,21,1262,0.0
1,22,1221,0.0
1,24,1118,0.0
1,26,1038,0.0
1,27,1005,0.0
1,28,979,0.0
1,29,941,0.0
1,30,917,0.0
1,31,888,0.0
1,134,161,0.0
1,135,160,0.0
1,147,873,0.0
1,150,924,0.0
1,151,958,0.0
1,154,1059,0.0
1,158,1248,0.0
1,159,1275,0.0
1,160,1273,0.0
1,162,1282,0.0
1,168,789,0.0
1,172,411,0.0
1,173,412,0.0
1,176,411,0.0
1,1,2667,0.0
1,2,2669,0.0
1,8,2690,0.0
1,9,2636,0.0
1,11,2322,0.0
1,12,2172,0.0
1,13,1978,0.0
1,14,1864,0.0
1,15,1752,0.0
1,16,1629,0.0
1,17,1531,0.0
1,18,1474,0.0
1,20,1320,0.0
1,21,1276,0.0
1,23,1164,0.0
1,24,1130,0.0
1,25,1076,0.0
1,27,1015,0.0
1,28,973,0.0
1,30,915,0.0
1,31,892,0.0
1,147,883,0.0
1,148,871,0.0
1,149,908,0.0
1,150,931,0.0
1,151,955,0.0
1,152,988,0.0
1,153,1023,0.0
1,154,1058,0.0
1,158,1237,0.0
1,160,1268,0.0
1,161,1279,0.0
1,166,1900,0.0
1,169,1270,0.0
1,173,409,0.0
1,176,410,0.0
1,177,412,0.0
1,178,409,0.0
1,179,415,0.0
1,0,2664,0.0
1,3,2669,0.0
1,7,2685,0.0
1,8,2692,0.0
1,9,2696,0.0
1,10,2562,0.0
1,11,2396,0.0
1,12,2149,0.0
1,13,1998,0.0
1,14,1858,0.0
1,15,1747,0.0
1,16,1633,0.0
1,17,1547,0.0
1,18,1463,0.0
1,19,1394,0.0
1,22,1218,0.0
1,25,1072,0.0
1,28,970,0.0
1,29,940,0.0
1,30,919,0.0
1,31,887,0.0
1,147,879,0.0
1,149,901,0.0
1,153,1016,0.0
1,154,1038,0.0
1,155,829,0.0
1,156,1153,0.0
1,157,1202,0.0
1,159,1279,0.0
1,160,1276,0.0
1,161,1271,0.0
1,163,1608,0.0
1,164,1668,0.0
1,165,1821,0.0
1,169,1279,0.0
1,173,413,0.0
1,174,412,0.0
1,175,411,0.0
1,8,2688,0.0
1,9,2608,0.0
1,10,2615,0.0
1,11,2325,0.0
1,12,2158,0.0
1,13,2020,0.0
1,16,1652,0.0
1,17,1541,0.0
1,18,1466,0.0
1,19,1408,0.0
1,20,1326,0.0
1,21,1260,0.0
1,22,1224,0.0
1,23,1159,0.0
1,24,1105,0.0
1,25,1084,0.0
1,26,1037,0.0
1,27,994,0.0
1,29,942,0.0
1,30,908,0.0
1,31,895,0.0
1,41,169,0.0
1,133,160,0.0
1,148,870,0.0
1,149,887,0.0
1,153,1007,0.0
1,154,1057,0.0
1,156,1133,0.0
1,157,1189,0.0
1,158,1251,0.0
1,159,1255,0.0
1,160,1280,0.0
1,161,1266,0.0
1,163,1537,0.0
1,164,1639,0.0
1,165,1761,0.0
1,168,1278,0.0
1,174,411,0.0
1,177,415,0.0
1,178,417,0.0
1,179,419,0.0
1,4,2672,0.0
1,6,2683,0.0
1,9,2644,0.0
1,10,2590,0.0
1,11,2324,0.0
1,12,2154,0.0
1,13,1947,0.0
1,14,1869,0.0
1,15,1736,0.0
1,16,1647,0.0
1,17,1556,0.0
1,18,1469,0.0
1,20,1339,0.0
1,21,1270,0.0
1,22,1219,0.0
1,23,1175,0.0
1,24,1125,0.0
1,26,1050,0.0
1,27,1009,0.0
1,28,980,0.0
1,29,950,0.0
1,148,877,0.0
1,149,897,0.0
1,150,941,0.0
1,154,1046,0.0
1,155,1083,0.0
1,156,1127,0.0
1,157,1194,0.0
1,158,1239,0.0
1,159,1270,0.0
1,160,1277,0.0
1,161,1296,0.0
1,162,1356,0.0
1,163,1592,0.0
1,164,1675,0.0
1,165,1740,0.0
1,169,1280,0.0
1,172,413,0.0
1,175,410,0.0
1,176,409,0.0
1,178,419,0.0
1,179,410,0.0
1,1,2664,0.0
1,9,2651,0.0
1,10,2548,0.0
1,11,2284,0.0
1,12,2166,0.0
1,13,1962,0.0
1,14,1845,0.0
1,15,1753,0.0
1,17,1539,0.0
1,18,1470,0.0
1,20,1317,0.0
1,22,1217,0.0
1,24,1119,0.0
1,25,1079,0.0
1,27,1004,0.0
1,31,893,0.0
1,147,880,0.0
1,148,875,0.0
1,149,886,0.0
1,150,942,0.0
1,153,1024,0.0
1,154,1036,0.0
1,158,1236,0.0
1,159,1269,0.0
1,160,1274,0.0
1,162,1302,0.0
1,163,1605,0.0
1,164,1725,0.0
1,165,1856,0.0
1,7,2690,0.0
1,9,2637,0.0
1,10,2532,0.0
1,11,2368,0.0
1,12,2144,0.0
1,13,1975,0.0
1,14,1833,0.0
1,15,1740,0.0
1,16,1623,0.0
1,17,1532,0.0
1,18,1459,0.0
1,21,1265,0.0
1,23,1160,0.0
1,24,1122,0.0
1,26,1039,0.0
1,27,1006,0.0
1,40,172,0.0
1,147,877,0.0
1,148,872,0.0
1,149,895,0.0
1,150,945,0.0
1,153,1019,0.0
1,154,1051,0.0
1,157,1211,0.0
1,158,1258,0.0
1,159,1281,0.0
1,162,1339,0.0
1,163,1524,0.0
1,164,1645,0.0
1,177,414,0.0
1,179,412,0.0
1,8,2679,0.0
1,9,2695,0.0
1,10,2546,0.0
1,11,2356,0.0
1,12,2151,0.0
1,13,1987,0.0
1,14,1876,0.0
1,16,1637,0.0
1,17,1554,0.0
1,19,1388,0.0
1,20,1334,0.0
1,21,1272,0.0
1,25,1074,0.0
1,147,876,0.0
1,149,884,0.0
1,154,1056,0.0
1,155,1089,0.0
1,157,1185,0.0
1,159,1285,0.0
1,160,1299,0.0
1,162,1352,0.0
1,163,1590,0.0
1,164,1693,0.0
1,165,1754,0.0
1,169,1281,0.0
1,172,412,0.0
1,178,413,0.0
1,1,2663,0.0
1,7,2683,0.0
1,9,2618,0.0
1,10,2637,0.0
1,11,2371,0.0
1,12,2171,0.0
1,13,2009,0.0
1,15,1760,0.0
1,16,1657,0.0
1,20,1333,0.0
1,21,1263,0.0
1,22,1226,0.0
1,24,1120,0.0
1,26,1042,0.0
1,148,881,0.0
1,149,907,0.0
1,153,1018,0.0
1,154,808,0.0
1,155,1077,0.0
1,157,1173,0.0
1,158,1247,0.0
1,159,1268,0.0
1,161,1268,0.0
1,162,1451,0.0
1,164,1678,0.0
1,165,1752,0.0
1,166,1868,0.0
1,173,414,0.0
1,179,406,0.0
1,2,2666,0.0
1,7,2691,0.0
1,8,2691,0.0
1,10,2508,0.0
1,11,2353,0.0
1,13,2017,0.0
1,14,1863,0.0
1,17,1559,0.0
1,19,1399,0.0
1,24,1137,0.0
1,25,1100,0.0
1,27,1003,0.0
1,28,987,0.0
1,31,894,0.0
1,36,100,0.0
1,38,102,0.0
1,39,105,0.0
1,40,108,0.0
1,43,100,0.0
1,44,101,0.0
1,45,102,0.0
1,46,103,0.0
1,47,103,0.0
1,48,106,0.0
1,49,108,0.0
1,50,110,0.0
1,148,880,0.0
1,149,904,0.0
1,151,963,0.0
1,152,989,0.0
1,156,1131,0.0
1,157,1178,0.0
1,158,1234,0.0
1,159,1284,0.0
1,161,1269,0.0
1,163,1614,0.0
1,164,1641,0.0
1,166,1870,0.0
1,176,412,0.0
1,4,2676,0.0
1,5,2676,0.0
1,7,2692,0.0
1,10,2552,0.0
1,11,2367,0.0
1,12,2161,0.0
1,14,1888,0.0
1,18,1480,0.0
1,21,1282,0.0
1,27,1011,0.0
1,29,945,0.0
1,32,880,0.0
1,46,104,0.0
1,47,104,0.0
1,48,107,0.0
1,50,107,0.0
1,51,110,0.0
1,52,116,0.0
1,147,882,0.0
1,149,906,0.0
1,150,916,0.0
1,151,953,0.0
1,153,671,0.0
1,155,1116,0.0
1,157,1192,0.0
1,159,1294,0.0
1,161,1265,0.0
1,164,1700,0.0
1,168,1276,0.0
1,169,1282,0.0
1,178,410,0.0
1,179,402,0.0
1,1,2669,0.0
1,7,2689,0.0
1,9,2693,0.0
1,10,2571,0.0
1,11,2334,0.0
1,12,2196,0.0
1,14,1852,0.0
1,15,1787,0.0
1,16,1659,0.0
1,17,1549,0.0
1,18,1457,0.0
1,19,1398,0.0
1,20,1330,0.0
1,21,1261,0.0
1,25,1087,0.0
1,27,1007,0.0
1,32,879,0.0
1,47,112,0.0
1,48,111,0.0
1,49,113,0.0
1,50,116,0.0
1,51,118,0.0
1,52,120,0.0
1,146,886,0.0
1,150,732,0.0
1,151,962,0.0
1,152,997,0.0
1,153,1028,0.0
1,154,1069,0.0
1,155,1112,0.0
1,156,1154,0.0
1,157,1204,0.0
1,159,1286,0.0
1,160,1284,0.0
1,162,1401,0.0
1,163,1596,0.0
1,164,1697,0.0
1,165,1828,0.0
1,166,1895,0.0
1,169,1277,0.0
1,177,421,0.0
1,10,2533,0.0
1,11,2360,0.0
1,12,2232,0.0
1,14,1872,0.0
1,15,1771,0.0
1,18,1478,0.0
1,19,1400,0.0
1,20,1337,0.0
1,22,1225,0.0
1,23,1173,0.0
1,24,1132,0.0
1,25,1088,0.0
1,26,1046,0.0
