Quality,Angle (degrees),Distance (mm),Rotation
1,5,824,0.0
1,6,810,0.0
1,7,816,0.0
1,8,696,0.0
1,9,646,0.0
1,11,456,0.0
1,12,464,0.0
1,14,452,0.0
1,17,348,0.0
1,19,218,0.0
1,21,210,0.0
1,22,214,0.0
1,23,210,0.0
1,24,211,0.0
1,25,206,0.0
1,26,206,0.0
1,27,231,0.0
1,28,208,0.0
1,30,155,0.0
1,31,202,0.0
1,32,215,0.0
1,33,211,0.0
1,34,207,0.0
1,35,202,0.0
1,36,196,0.0
1,37,191,0.0
1,38,188,0.0
1,39,184,0.0
1,40,180,0.0
1,41,175,0.0
1,42,172,0.0
1,43,170,0.0
1,44,165,0.0
1,45,161,0.0
1,46,160,0.0
1,47,157,0.0
1,48,152,0.0
1,49,149,0.0
1,50,145,0.0
1,51,150,0.0
1,52,150,0.0
1,124,147,0.0
1,125,150,0.0
1,126,151,0.0
1,127,151,0.0
1,128,151,0.0
1,129,152,0.0
1,130,154,0.0
1,131,156,0.0
1,132,159,0.0
1,133,161,0.0
1,134,165,0.0
1,135,167,0.0
1,136,170,0.0
1,137,174,0.0
1,138,178,0.0
1,139,181,0.0
1,140,185,0.0
1,141,188,0.0
1,142,200,0.0
1,143,222,0.0
1,144,235,0.0
1,145,249,0.0
1,146,260,0.0
1,150,289,0.0
1,151,284,0.0
1,152,262,0.0
1,153,327,0.0
1,154,332,0.0
1,155,339,0.0
1,156,359,0.0
1,157,379,0.0
1,158,352,0.0
1,159,353,0.0
1,160,357,0.0
1,161,352,0.0
1,162,353,0.0
1,163,357,0.0
1,164,364,0.0
1,165,375,0.0
1,166,508,0.0
1,167,525,0.0
1,168,600,0.0
1,169,548,0.0
1,170,585,0.0
1,172,577,0.0
1,173,574,0.0
1,174,569,0.0
1,175,566,0.0
1,176,562,0.0
1,177,558,0.0
1,178,557,0.0
1,179,553,0.0
1,5,823,0.0
1,7,793,0.0
1,9,641,0.0
1,12,460,0.0
1,15,380,0.0
1,19,220,0.0
1,21,212,0.0
1,23,214,0.0
1,26,215,0.0
1,27,255,0.0
1,28,207,0.0
1,30,172,0.0
1,31,192,0.0
1,32,214,0.0
1,34,206,0.0
1,36,198,0.0
1,38,186,0.0
1,41,178,0.0
1,44,164,0.0
1,45,162,0.0
1,47,161,0.0
1,50,147,0.0
1,51,149,0.0
1,124,148,0.0
1,126,150,0.0
1,130,153,0.0
1,134,164,0.0
1,138,176,0.0
1,140,184,0.0
1,141,189,0.0
1,142,195,0.0
1,143,224,0.0
1,144,243,0.0
1,145,251,0.0
1,149,281,0.0
1,151,270,0.0
1,154,329,0.0
1,155,344,0.0
1,157,331,0.0
1,158,342,0.0
1,160,355,0.0
1,161,349,0.0
1,162,352,0.0
1,165,376,0.0
1,166,509,0.0
1,167,510,0.0
1,168,517,0.0
1,169,605,0.0
1,172,575,0.0
1,173,573,0.0
1,175,565,0.0
1,177,559,0.0
1,178,556,0.0
1,6,817,0.0
1,7,831,0.0
1,8,721,0.0
1,9,669,0.0
1,12,454,0.0
1,15,386,0.0
1,17,354,0.0
1,20,222,0.0
1,21,215,0.0
1,24,210,0.0
1,26,208,0.0
1,27,220,0.0
1,29,196,0.0
1,30,157,0.0
1,32,218,0.0
1,35,201,0.0
1,37,193,0.0
1,38,187,0.0
1,39,182,0.0
1,41,176,0.0
1,42,174,0.0
1,43,168,0.0
1,44,166,0.0
1,45,163,0.0
1,46,162,0.0
1,47,160,0.0
1,49,146,0.0
1,124,149,0.0
1,125,151,0.0
1,132,158,0.0
1,136,171,0.0
1,137,173,0.0
1,138,177,0.0
1,141,190,0.0
1,143,198,0.0
1,144,244,0.0
1,145,253,0.0
1,146,258,0.0
1,149,283,0.0
1,150,293,0.0
1,151,296,0.0
1,153,300,0.0
1,154,334,0.0
1,155,348,0.0
1,157,327,0.0
1,159,354,0.0
1,160,353,0.0
1,163,355,0.0
1,164,362,0.0
1,165,371,0.0
1,166,510,0.0
1,168,522,0.0
1,170,579,0.0
1,173,572,0.0
1,175,564,0.0
1,176,563,0.0
1,177,560,0.0
1,179,554,0.0
1,7,830,0.0
1,8,717,0.0
1,9,664,0.0
1,12,457,0.0
1,13,422,0.0
1,23,213,0.0
1,24,212,0.0
1,25,204,0.0
1,26,210,0.0
1,27,230,0.0
1,28,210,0.0
1,30,136,0.0
1,31,190,0.0
1,32,211,0.0
1,35,200,0.0
