Quality,Angle (degrees),Distance (mm),Rotation
1,0,1666,0.0
1,1,1918,0.0
1,2,1835,0.0
1,4,1545,0.0
1,5,1388,0.0
1,6,1395,0.0
1,7,1398,0.0
1,8,1402,0.0
1,9,1407,0.0
1,10,1410,0.0
1,11,1413,0.0
1,12,1420,0.0
1,13,1427,0.0
1,14,1432,0.0
1,15,1441,0.0
1,16,1449,0.0
1,17,1456,0.0
1,18,1464,0.0
1,19,1474,0.0
1,20,1486,0.0
1,21,1494,0.0
1,22,1509,0.0
1,23,1518,0.0
1,24,1530,0.0
1,25,1545,0.0
1,26,1562,0.0
1,27,1577,0.0
1,28,1592,0.0
1,29,1613,0.0
1,30,1625,0.0
1,31,1644,0.0
1,32,1664,0.0
1,33,1623,0.0
1,34,1580,0.0
1,35,1544,0.0
1,36,1505,0.0
1,37,1469,0.0
1,38,1433,0.0
1,39,1399,0.0
1,40,1377,0.0
1,41,1347,0.0
1,42,1318,0.0
1,43,1296,0.0
1,44,1273,0.0
1,45,1253,0.0
1,46,1237,0.0
1,56,140,0.0
1,57,138,0.0
1,58,137,0.0
1,59,137,0.0
1,60,137,0.0
1,61,137,0.0
1,62,138,0.0
1,124,149,0.0
1,125,150,0.0
1,126,150,0.0
1,127,150,0.0
1,128,149,0.0
1,129,150,0.0
1,130,150,0.0
1,131,154,0.0
1,132,158,0.0
1,133,160,0.0
1,134,163,0.0
1,135,167,0.0
1,136,170,0.0
1,137,172,0.0
1,138,176,0.0
1,139,179,0.0
1,140,183,0.0
1,141,187,0.0
1,142,191,0.0
1,143,196,0.0
1,144,201,0.0
1,145,206,0.0
1,146,213,0.0
1,147,218,0.0
1,148,224,0.0
1,149,230,0.0
1,150,238,0.0
1,151,247,0.0
1,152,254,0.0
1,153,262,0.0
1,163,322,0.0
1,164,442,0.0
1,171,238,0.0
1,1,1914,0.0
1,2,1926,0.0
1,4,1546,0.0
1,5,1471,0.0
1,6,1392,0.0
1,11,1414,0.0
1,13,1425,0.0
1,16,1448,0.0
1,18,1465,0.0
1,20,1484,0.0
1,21,1493,0.0
1,22,1507,0.0
1,23,1522,0.0
1,24,1535,0.0
1,25,1548,0.0
1,26,1561,0.0
1,27,1575,0.0
1,28,1591,0.0
1,29,1607,0.0
1,30,1628,0.0
1,31,1636,0.0
1,32,1641,0.0
1,33,1616,0.0
1,34,1575,0.0
1,35,1538,0.0
1,36,1501,0.0
1,37,1467,0.0
1,38,1437,0.0
1,39,1409,0.0
1,40,1380,0.0
1,41,1346,0.0
1,42,1316,0.0
1,43,1290,0.0
1,44,1269,0.0
1,45,1248,0.0
1,55,140,0.0
1,61,138,0.0
1,124,148,0.0
1,128,151,0.0
1,129,144,0.0
1,130,151,0.0
1,131,155,0.0
1,135,166,0.0
1,136,168,0.0
1,138,175,0.0
1,141,186,0.0
1,146,211,0.0
1,147,217,0.0
1,148,225,0.0
1,149,231,0.0
1,150,237,0.0
1,151,244,0.0
1,152,255,0.0
1,163,340,0.0
1,164,413,0.0
1,171,239,0.0
1,0,1674,0.0
1,1,1916,0.0
1,2,1936,0.0
1,5,1389,0.0
1,6,1394,0.0
1,7,1397,0.0
1,9,1406,0.0
1,10,1411,0.0
1,11,1412,0.0
1,12,1419,0.0
1,13,1426,0.0
1,14,1433,0.0
1,17,1457,0.0
1,18,1463,0.0
1,19,1473,0.0
1,21,1496,0.0
1,22,1508,0.0
1,23,1521,0.0
1,24,1536,0.0
1,25,1546,0.0
1,26,1560,0.0
1,28,1594,0.0
1,30,1631,0.0
1,31,1651,0.0
1,32,1665,0.0
1,34,1572,0.0
1,35,1545,0.0
1,36,1504,0.0
1,37,1466,0.0
1,38,1432,0.0
1,40,1376,0.0
1,42,1320,0.0
1,43,1293,0.0
1,44,1266,0.0
1,58,138,0.0
1,127,151,0.0
1,128,150,0.0
1,130,148,0.0
1,132,157,0.0
1,136,169,0.0
1,140,184,0.0
1,141,188,0.0
1,144,200,0.0
1,145,207,0.0
1,148,223,0.0
1,151,246,0.0
1,152,250,0.0
1,162,351,0.0
1,163,324,0.0
1,0,1678,0.0
1,1,1917,0.0
1,2,1732,0.0
1,12,1418,0.0
1,14,1434,0.0
1,15,1440,0.0
1,19,1472,0.0
1,20,1485,0.0
1,23,1517,0.0
1,24,1532,0.0
1,26,1559,0.0
1,27,1576,0.0
1,28,1595,0.0
1,31,1640,0.0
1,32,1663,0.0
1,33,1621,0.0
1,34,1570,0.0
1,36,1506,0.0
1,38,1428,0.0
1,41,1343,0.0
1,42,1321,0.0
1,43,1295,0.0
1,44,1268,0.0
1,46,1236,0.0
1,56,139,0.0
1,129,151,0.0
1,131,153,0.0
1,137,173,0.0
1,142,192,0.0
1,146,212,0.0
1,152,256,0.0
1,162,352,0.0
1,163,357,0.0
1,1,1915,0.0
1,2,1932,0.0
1,4,1547,0.0
1,5,1432,0.0
1,6,1419,0.0
1,8,1401,0.0
1,9,1405,0.0
1,10,1409,0.0
1,14,1431,0.0
1,16,1446,0.0
1,17,1455,0.0
1,20,1483,0.0
1,23,1520,0.0
1,24,1534,0.0
1,29,1612,0.0
1,31,1647,0.0
1,32,1642,0.0
1,33,1607,0.0
1,34,1577,0.0
1,36,1494,0.0
1,37,1472,0.0
1,38,1439,0.0
1,39,1402,0.0
1,40,1374,0.0
1,41,1348,0.0
1,42,1323,0.0
1,43,1292,0.0
1,44,1272,0.0
1,46,1230,0.0
1,55,142,0.0
1,126,149,0.0
1,128,152,0.0
1,133,161,0.0
1,144,199,0.0
1,145,205,0.0
1,147,216,0.0
1,149,232,0.0
1,151,245,0.0
1,162,306,0.0
1,164,440,0.0
1,2,1938,0.0
1,4,1548,0.0
1,5,1387,0.0
1,6,1393,0.0
1,7,1396,0.0
1,12,1421,0.0
1,13,1428,0.0
1,15,1438,0.0
1,16,1447,0.0
1,17,1453,0.0
1,21,1498,0.0
1,22,1505,0.0
1,27,1573,0.0
1,28,1588,0.0
1,29,1609,0.0
1,32,1655,0.0
1,33,1619,0.0
1,34,1582,0.0
1,35,1540,0.0
1,36,1500,0.0
1,38,1434,0.0
1,39,1407,0.0
1,41,1344,0.0
1,45,1249,0.0
1,57,139,0.0
1,140,182,0.0
1,163,319,0.0
1,164,329,0.0
1,0,2671,0.0
1,3,1729,0.0
1,5,1386,0.0
1,6,1391,0.0
1,7,1400,0.0
1,10,1408,0.0
1,14,1430,0.0
1,19,1475,0.0
1,24,1531,0.0
1,28,1593,0.0
1,29,1606,0.0
1,30,1623,0.0
1,31,1639,0.0
1,32,1651,0.0
1,33,1613,0.0
1,34,1585,0.0
1,35,1537,0.0
1,37,1470,0.0
1,38,1431,0.0
1,39,1408,0.0
1,42,1315,0.0
1,44,1276,0.0
1,45,1252,0.0
1,129,148,0.0
1,130,152,0.0
1,137,174,0.0
1,163,360,0.0
1,164,381,0.0
1,171,240,0.0
1,0,1670,0.0
1,1,1908,0.0
1,2,1929,0.0
1,4,1550,0.0
1,5,1416,0.0
1,11,1415,0.0
1,26,1558,0.0
1,29,1610,0.0
1,30,1630,0.0
1,31,1642,0.0
1,32,1637,0.0
1,35,1532,0.0
1,39,1401,0.0
1,40,1370,0.0
1,41,1351,0.0
1,42,1322,0.0
1,43,1294,0.0
1,45,1251,0.0
1,46,1232,0.0
1,126,152,0.0
1,129,146,0.0
1,135,165,0.0
1,139,181,0.0
1,144,202,0.0
1,148,222,0.0
1,150,236,0.0
1,151,243,0.0
1,152,252,0.0
1,163,400,0.0
1,164,399,0.0
1,0,1694,0.0
1,1,1912,0.0
1,2,1931,0.0
1,4,1540,0.0
1,11,1416,0.0
1,15,1437,0.0
1,22,1503,0.0
1,23,1516,0.0
1,24,1529,0.0
1,25,1544,0.0
1,26,1557,0.0
1,27,1578,0.0
1,29,1605,0.0
1,30,1626,0.0
1,31,1643,0.0
1,32,1653,0.0
1,33,1618,0.0
1,34,1568,0.0
1,36,1507,0.0
1,37,1464,0.0
1,39,1410,0.0
1,40,1375,0.0
1,42,1324,0.0
1,44,1267,0.0
1,46,1229,0.0
1,129,145,0.0
1,134,164,0.0
1,163,358,0.0
1,171,241,0.0
1,0,2657,0.0
1,1,1913,0.0
1,3,1730,0.0
1,7,1399,0.0
1,16,1444,0.0
1,17,1454,0.0
1,18,1466,0.0
1,22,1504,0.0
1,27,1572,0.0
1,29,1608,0.0
1,30,1624,0.0
1,31,1638,0.0
1,32,1649,0.0
1,33,1609,0.0
1,35,1534,0.0
1,39,1405,0.0
1,40,1379,0.0
