Quality,Angle (degrees),Distance (mm),Rotation
1,5,770,0.0
1,6,774,0.0
1,13,506,0.0
1,16,357,0.0
1,19,343,0.0
1,20,329,0.0
1,21,317,0.0
1,22,304,0.0
1,23,288,0.0
1,26,240,0.0
1,27,246,0.0
1,28,242,0.0
1,29,238,0.0
1,30,230,0.0
1,31,222,0.0
1,32,216,0.0
1,33,212,0.0
1,34,207,0.0
1,35,201,0.0
1,36,197,0.0
1,37,191,0.0
1,38,188,0.0
1,39,185,0.0
1,40,180,0.0
1,41,177,0.0
1,42,173,0.0
1,43,169,0.0
1,44,167,0.0
1,45,164,0.0
1,46,161,0.0
1,47,158,0.0
1,48,155,0.0
1,49,153,0.0
1,50,151,0.0
1,51,149,0.0
1,52,146,0.0
1,53,141,0.0
1,54,138,0.0
1,55,135,0.0
1,56,131,0.0
1,57,136,0.0
1,58,137,0.0
1,59,137,0.0
1,60,137,0.0
1,61,137,0.0
1,62,138,0.0
1,125,151,0.0
1,126,151,0.0
1,127,151,0.0
1,128,151,0.0
1,129,152,0.0
1,130,154,0.0
1,131,157,0.0
1,132,158,0.0
1,133,161,0.0
1,134,164,0.0
1,135,167,0.0
1,136,170,0.0
1,137,173,0.0
1,138,177,0.0
1,139,181,0.0
1,140,185,0.0
1,141,189,0.0
1,142,200,0.0
1,143,230,0.0
1,144,232,0.0
1,145,230,0.0
1,146,233,0.0
1,147,249,0.0
1,148,267,0.0
1,149,280,0.0
1,150,290,0.0
1,151,297,0.0
1,152,306,0.0
1,153,258,0.0
1,154,264,0.0
1,155,277,0.0
1,156,293,0.0
1,157,334,0.0
1,158,389,0.0
1,159,404,0.0
1,162,474,0.0
1,163,500,0.0
1,164,511,0.0
1,165,406,0.0
1,169,557,0.0
1,172,550,0.0
1,173,546,0.0
1,174,542,0.0
1,175,540,0.0
1,176,537,0.0
1,177,534,0.0
1,178,532,0.0
1,179,529,0.0
1,5,772,0.0
1,12,508,0.0
1,19,342,0.0
1,20,330,0.0
1,21,321,0.0
1,22,303,0.0
1,23,286,0.0
